iter	Logloss
0	0.6652677172
1	0.6382937643
2	0.6124580897
3	0.5880219406
4	0.5661641529
5	0.5459379727
6	0.5295620396
7	0.5127128666
8	0.498507038
9	0.4861598681
10	0.4725125073
11	0.4595651437
12	0.4492443198
13	0.4389654959
14	0.4288012072
15	0.4191054398
16	0.4103773382
17	0.4029019303
18	0.3967706019
19	0.3908465394
20	0.3842663935
21	0.3787892266
22	0.373192306
23	0.3677791897
24	0.3632159397
25	0.358616635
26	0.3543561291
27	0.3503874998
28	0.3466471778
29	0.3437921594
30	0.3408727533
31	0.3378045239
32	0.3347568181
33	0.3320984241
34	0.329603937
35	0.3273384763
36	0.3255009156
37	0.3232067485
38	0.3210691801
39	0.3192967712
40	0.3174616065
41	0.3162298016
42	0.3145548265
43	0.3128863021
44	0.3117657782
45	0.310313062
46	0.3089769185
47	0.307603341
48	0.3062706651
49	0.3050940083
50	0.3040216388
51	0.3029881124
52	0.3021067506
53	0.3008755547
54	0.3001239491
55	0.2992918719
56	0.2985391337
57	0.2977498697
58	0.2971811097
59	0.2964885396
60	0.2956545137
61	0.2948715186
62	0.2940424585
63	0.2933817975
64	0.2927176227
65	0.292229799
66	0.2915592963
67	0.2909805189
68	0.290382118
69	0.2898874646
70	0.2891670183
71	0.2885594577
72	0.2881541572
73	0.2876496881
74	0.2872409043
75	0.2868498045
76	0.2864271484
77	0.2860750052
78	0.285774937
79	0.2853833434
80	0.2850355718
81	0.2846325664
82	0.2843349839
83	0.2839065304
84	0.2835818981
85	0.2834166965
86	0.2830707692
87	0.282891329
88	0.2825162258
89	0.2821695659
90	0.2818579889
91	0.2815370665
92	0.2813270247
93	0.281060411
94	0.2806916082
95	0.2803553917
96	0.2800832644
97	0.2798539404
98	0.2796178145
99	0.279396024
