iter	Logloss
0	0.6638778546
1	0.6371099108
2	0.6115772308
3	0.5885220673
4	0.5693484777
5	0.5503496865
6	0.5309387567
7	0.5128760458
8	0.4979127988
9	0.4845838291
10	0.471417195
11	0.4584865764
12	0.447861533
13	0.4367130291
14	0.426746107
15	0.4173469001
16	0.408261296
17	0.4010674707
18	0.394883462
19	0.3882573097
20	0.3823231875
21	0.3770237314
22	0.3710810189
23	0.3658849595
24	0.360681999
25	0.3568189111
26	0.352270016
27	0.3484865338
28	0.3451026932
29	0.3416765482
30	0.3383875128
31	0.3352891495
32	0.3321181611
33	0.3290956567
34	0.3261441369
35	0.3239641102
36	0.3217663997
37	0.3201173392
38	0.3181792435
39	0.3162241716
40	0.3145757223
41	0.3129100241
42	0.31114562
43	0.3094974615
44	0.3081212758
45	0.3067089426
46	0.3057240721
47	0.3044225156
48	0.3031099858
49	0.3019769904
50	0.3009122785
51	0.2998779747
52	0.2989971181
53	0.2979336831
54	0.2972425017
55	0.2962028812
56	0.2953185212
57	0.2945898055
58	0.2938157035
59	0.2930548092
60	0.2925133127
61	0.2919872115
62	0.2912230886
63	0.290434478
64	0.2897869713
65	0.2891573541
66	0.2886171494
67	0.2881548974
68	0.287674026
69	0.2872068515
70	0.2867086667
71	0.2861227093
72	0.2856924525
73	0.2851447807
74	0.2848481646
75	0.2844418398
76	0.2839822521
77	0.2836336093
78	0.283280935
79	0.2827716484
80	0.2823331429
81	0.2820435469
82	0.2816801683
83	0.281193902
84	0.2809009795
85	0.2805957689
86	0.2802485955
87	0.2798955019
88	0.279595335
89	0.2793516128
90	0.2790665334
91	0.2787399635
92	0.2784403069
93	0.2780177671
94	0.2777476406
95	0.2774788454
96	0.2773092308
97	0.2770536694
98	0.276827065
99	0.276537399
