iter	Logloss
0	0.6652026116
1	0.6368050846
2	0.6132638922
3	0.5896033586
4	0.568973415
5	0.550672959
6	0.5315304789
7	0.5146970093
8	0.4978409199
9	0.482284614
10	0.4687893607
11	0.4555690686
12	0.4456160434
13	0.4357255584
14	0.4259511799
15	0.4175503116
16	0.4100690721
17	0.4026670364
18	0.395762689
19	0.389556805
20	0.3836837863
21	0.3777822964
22	0.3723392604
23	0.3681553096
24	0.3637728983
25	0.360023559
26	0.3559459829
27	0.351836983
28	0.3480434215
29	0.3443897044
30	0.3413039483
31	0.3384218364
32	0.3358304593
33	0.3332993443
34	0.3308168913
35	0.3283112752
36	0.3258454287
37	0.3234554498
38	0.3212648691
39	0.3191298782
40	0.3172282569
41	0.3153546704
42	0.3135304984
43	0.3118686147
44	0.310387028
45	0.3089008282
46	0.3075232654
47	0.3062448962
48	0.3051153798
49	0.3039910481
50	0.3030222307
51	0.3021433781
52	0.3010577241
53	0.3000299722
54	0.2990673514
55	0.2981152598
56	0.2973489485
57	0.2965138464
58	0.295695354
59	0.2951476669
60	0.2943963337
61	0.2936632166
62	0.2929460612
63	0.2923523686
64	0.2918430227
65	0.2913026098
66	0.290836174
67	0.2904434975
68	0.2898211995
69	0.2892553163
70	0.2887970231
71	0.2883327305
72	0.287843415
73	0.2873816928
74	0.2869968215
75	0.2866741715
76	0.2864417477
77	0.2861091116
78	0.2857926713
79	0.2853877392
80	0.2849531888
81	0.2845908847
82	0.2842765474
83	0.2839075695
84	0.2835383373
85	0.2832525597
86	0.282960603
87	0.2827476948
88	0.2824140774
89	0.2822044714
90	0.2818973927
91	0.281696347
92	0.281449755
93	0.2812168153
94	0.2808149634
95	0.2804996319
96	0.2801623858
97	0.2799069819
98	0.2796407943
99	0.2794591326
