iter	Logloss
0	0.6653905116
1	0.638662885
2	0.6134358153
3	0.591826736
4	0.570387732
5	0.5498341049
6	0.5312386663
7	0.5153932115
8	0.5005552706
9	0.484797639
10	0.472126704
11	0.4589389357
12	0.4468452963
13	0.4352995629
14	0.4252824953
15	0.4164098803
16	0.4091759228
17	0.4009056937
18	0.3937779736
19	0.3874250513
20	0.3818211313
21	0.3761531266
22	0.3706494448
23	0.3647144744
24	0.3603938526
25	0.3565178465
26	0.3519046955
27	0.3484013557
28	0.3445205029
29	0.3414376759
30	0.33844192
31	0.3357804386
32	0.3332640504
33	0.3303974696
34	0.3279432404
35	0.3255573122
36	0.3230191515
37	0.3208654589
38	0.3189201216
39	0.3170521974
40	0.315122302
41	0.3134732714
42	0.3115167806
43	0.3098914581
44	0.3083393874
45	0.3070580829
46	0.3057852153
47	0.3045823504
48	0.3035802176
49	0.3023444637
50	0.3012004012
51	0.3003785736
52	0.2996740017
53	0.2989235908
54	0.2979748016
55	0.2971038258
56	0.2960515308
57	0.2952034931
58	0.2946364396
59	0.2939650571
60	0.293307205
61	0.2927850155
62	0.292152497
63	0.2915430131
64	0.2908515869
65	0.2903536828
66	0.2898096167
67	0.2892622318
68	0.288890525
69	0.2882521632
70	0.2876536306
71	0.2872001948
72	0.2866493398
73	0.2862586659
74	0.2858370287
75	0.2854549342
76	0.2849958416
77	0.284484762
78	0.2841621669
79	0.2838291933
80	0.2835171666
81	0.2831609147
82	0.2827701199
83	0.2824269812
84	0.2820895478
85	0.2816918977
86	0.2814016067
87	0.2810476339
88	0.2808291279
89	0.2805176334
90	0.2800691417
91	0.2797515129
92	0.2794173789
93	0.2791076409
94	0.2788179673
95	0.2785310696
96	0.2782484666
97	0.2779661216
98	0.2776999406
99	0.2774104316
